Per-class Accuracy:
Class 1: 73.91
Class 2: 74.55
Class 3: 77.05
Class 4: 86.39
Class 5: 85.19
Class 6: 73.79
Class 7: 73.57
Class 8: 69.87
Class 9: 80.77
Class 10: 62.04
Class 11: 72.59
Class 12: 81.05
Class 13: 75.0
Class 14: 78.77
Class 15: 78.76
Class 16: 83.74
Class 17: 60.93
Class 18: 60.5
Class 19: 72.14
Class 20: 72.39
Class 21: 57.36
Class 22: 64.47
Class 23: 59.7
Class 24: 58.52
Class 25: 55.47
Class 26: 67.72
Class 27: 63.04
Class 28: 68.5
Class 29: 60.78
Class 30: 66.67
Class 31: 49.61
Class 32: 52.35
Class 33: 56.64
Class 34: 59.4
Class 35: 57.52
Class 36: 70.25
Class 37: 71.96
Class 38: 66.03
Class 39: 56.43
Class 40: 60.43
Class 41: 56.62
Class 42: 56.82
Class 43: 53.38
Class 44: 61.65
Class 45: 72.99
Class 46: 51.57
Class 47: 67.13
Class 48: 61.31
Class 49: 74.07
Class 50: 73.08
Class 51: 52.26
Class 52: 70.21
Class 53: 74.71
Avg Accuracy: 66.78
