Per-class Accuracy:
Class 1: 71.74
Class 2: 78.18
Class 3: 77.05
Class 4: 85.21
Class 5: 84.44
Class 6: 75.17
Class 7: 66.43
Class 8: 69.87
Class 9: 73.85
Class 10: 68.61
Class 11: 71.85
Class 12: 75.79
Class 13: 76.67
Class 14: 87.67
Class 15: 69.91
Class 16: 79.67
Class 17: 60.26
Class 18: 63.87
Class 19: 70.71
Class 20: 72.39
Class 21: 62.79
Class 22: 56.58
Class 23: 58.96
Class 24: 60.8
Class 25: 52.34
Class 26: 65.35
Class 27: 68.84
Class 28: 58.27
Class 29: 58.82
Class 30: 56.74
Class 31: 48.03
Class 32: 53.02
Class 33: 41.96
Class 34: 61.65
Class 35: 58.82
Class 36: 60.76
Class 37: 67.29
Class 38: 61.54
Class 39: 56.43
Class 40: 54.68
Class 41: 55.15
Class 42: 61.36
Class 43: 54.89
Class 44: 49.62
Class 45: 75.29
Class 46: 50.31
Class 47: 63.64
Class 48: 66.67
Class 49: 69.75
Class 50: 72.44
Class 51: 53.55
Class 52: 71.28
Class 53: 70.11
Avg Accuracy: 65.29
