Per-class Accuracy:
Class 1: 75.54
Class 2: 70.91
Class 3: 72.13
Class 4: 85.21
Class 5: 80.74
Class 6: 77.93
Class 7: 71.43
Class 8: 68.59
Class 9: 76.92
Class 10: 48.18
Class 11: 77.04
Class 12: 76.84
Class 13: 68.33
Class 14: 85.62
Class 15: 73.45
Class 16: 84.55
Class 17: 63.58
Class 18: 67.23
Class 19: 66.43
Class 20: 73.13
Class 21: 53.49
Class 22: 63.16
Class 23: 55.97
Class 24: 56.25
Class 25: 53.91
Class 26: 57.48
Class 27: 66.67
Class 28: 63.78
Class 29: 57.52
Class 30: 66.67
Class 31: 58.27
Class 32: 45.64
Class 33: 50.35
Class 34: 58.65
Class 35: 53.59
Class 36: 68.35
Class 37: 68.22
Class 38: 69.23
Class 39: 50.71
Class 40: 58.27
Class 41: 56.62
Class 42: 57.58
Class 43: 49.62
Class 44: 57.89
Class 45: 68.39
Class 46: 49.69
Class 47: 72.03
Class 48: 58.33
Class 49: 68.52
Class 50: 71.79
Class 51: 49.68
Class 52: 68.09
Class 53: 71.84
Avg Accuracy: 64.89
